id,iebc_ward_name,count,province,district,division,pcode,status,no,shape_type,status_1,created_at,updated_at,voided,county,constituency
375,Jara Jara,2,North Eastern,Garissa,Balambala,KE0376,,137,Polygon,spacing,2026-03-04 16:05:53.240417,2026-03-04 16:26:02.993702,f,Garissa,Balambala
493,Kaptarakwa,7,Rift Valley,Elgeyo Marakwet,Chepkorio,KE0494,,745,Polygon,,2026-03-04 16:05:54.020968,2026-03-04 16:27:35.883778,f,Elgeyo Marakwet,Chepkorio
501,Kapyemit,2,Rift Valley,Uasin Gishu,Turbo,KE0502,,,,,2026-03-04 16:05:54.067269,2026-03-04 16:27:35.991167,f,Uasin Gishu,Turbo
505,Karatina Town,7,Central,Nyeri,Mathira,KE0506,,482,Polygon,,2026-03-04 16:05:54.091878,2026-03-04 16:27:35.997872,f,Nyeri,Mathira
514,Kariti,5,Central,Kirinyaga,Ndia,KE0515,,511,Polygon,,2026-03-04 16:05:54.140577,2026-03-04 16:27:36.044734,f,Kirinyaga,Ndia
522,Kasemeni / Vanga,4,Coast,Kwale,Lungalunga,KE0523,,38,Polygon,,2026-03-04 16:05:54.187319,2026-03-04 16:27:36.073763,f,Kwale,Lungalunga
530,Katilu,4,Rift Valley,Turkana,Katilu,KE0531,,634,Polygon,,2026-03-04 16:05:54.230412,2026-03-04 16:27:36.130634,f,Turkana,Katilu
537,Kedowa/Kimugul,7,Rift Valley,Kericho,Londiani,KE0538,,937,Polygon,,2026-03-04 16:05:54.274072,2026-03-04 16:27:36.18537,f,Kericho,Londiani
564,Kibauni,9,Eastern,Machakos,Yathui,KE0565,,410,Polygon,,2026-03-04 16:05:54.48523,2026-03-04 16:27:36.296335,f,Machakos,Yathui
576,Kiima Kiu/Kalanzoni,8,Eastern,Makueni,Kilome,KE0577,,419,Polygon,,2026-03-04 16:05:54.545894,2026-03-04 16:27:36.408761,f,Makueni,Kilome
